T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
69.3011913469346,325273556.107731,337110507.867645,737175553.602695,691066907.219685,1062449109.71043,1028177415.08733,15330892.431434,14836359.8831283
69.485722799679,328114084.344382,339859629.290268,745829881.488528,699608523.711072,1073943965.83291,1039468153.00134,15455606.1741762,14959449.3844861
69.6702542524234,330977688.43133,342631527.984595,754554080.276014,708220621.649151,1085531768.70734,1050852149.63375,15580993.3605538,15083225.4154604
69.8547857051678,333864492.659539,345426330.640468,763348524.026677,716903574.057337,1097213016.68622,1062329904.69781,15707055.7964668,15207689.6971712
70.0393171579121,336774621.672898,348244164.52717,772213587.324699,725657759.994364,1108988208.9976,1073901924.52153,15833795.2799478,15332844.0128732
70.2238486106565,339708200.813841,351085157.192388,781149645.788754,734483561.418846,1120857846.60259,1085568718.61123,15961213.5934575,15458690.1756759
70.4083800634009,342665355.506923,353949436.312815,790157075.159127,743381359.838495,1132822430.66605,1097330796.15131,16089312.5176261,15585229.9868116
70.5929115161453,345646211.264271,356837130.180997,799236251.341685,752351534.489421,1144882462.60596,1109188664.67042,16218093.8317469,15712465.1891057
70.7774429688897,348650894.3048,359748367.275709,808387551.578704,761394463.924839,1157038445.8835,1121142831.20055,16347559.3043243,15840397.5077784
70.961974421634,351679531.18913,362683276.285249,817611353.758562,770510531.544486,1169290884.94769,1133193807.82973,16477710.6986467,15969028.7273963
71.1465058743784,354732248.485455,365641986.523804,826908035.828082,779700135.22903,1181640284.31354,1145342121.75283,16608549.778503,16098360.8098522
71.3310373271228,357809173.167285,368624627.425005,836277979.845337,788963675.53195,1194087153.01262,1157588302.95696,16740078.3481965,16228395.7496086
71.5155687798672,360910432.890454,371631328.759219,845721574.789336,798301550.81037,1206632007.67979,1169932879.56959,16872298.2802336,16359135.4965759
71.7001002326116,364036155.376299,374662220.933737,855239210.303509,807714155.267055,1219275365.67981,1182376376.20079,17005211.4536678,16490581.916395
71.8846316853559,367186468.460539,377717434.438174,864831275.775264,817201882.590451,1232017744.2358,1194919317.02862,17138819.7392531,16622736.8641166
72.0691631381003,370361500.741822,380797100.156853,874498158.88435,826765124.672925,1244859659.62617,1207562224.82978,17273124.9523824,16755602.1529368
72.2536945908447,373561381.130959,383901349.459107,884240246.611806,836404271.199882,1257801627.74276,1220305620.65899,17408128.885797,16889179.5446225
72.4382260435891,376786238.548671,387030313.775044,894057925.958501,846119711.915108,1270844164.50717,1233150025.69015,17543833.3320983,17023470.7991828
72.6227574963335,380036202.357832,390184125.032103,903951585.005307,855911839.671179,1283987787.36314,1246095964.70328,17680240.0803257,17158477.6990594
72.8072889490778,383311402.556303,393362915.558374,913921613.384124,865781049.825131,1297233015.94043,1259143965.38351,17817350.9144045,17294202.044766
72.9918204018222,386611969.191078,396566817.756389,923968400.84687,875727737.63194,1310580370.03795,1272294555.38833,17955167.6178637,17430645.6323825
73.1763518545666,389938032.443542,399795964.588126,934092337.385214,885752296.809232,1324030369.82876,1285548261.39736,18093691.9720363,17567810.2140899
73.360883307311,393289723.240557,403050489.308224,944293814.32078,895855120.270424,1337583537.56134,1298905609.57865,18232925.7460719,17705697.5191051
73.5454147600554,396667172.766011,406330525.29736,954573223.433725,906036604.626494,1351240396.19974,1312367129.92385,18372870.7049198,17844309.3217978
73.7299462127997,400070512.218578,409636206.592478,964930956.660497,916297166.177319,1365001468.87908,1325933372.7698,18513528.6150442,17983647.6375809
73.9144776655441,403499873.296886,412967667.447745,975367411.29384,926637227.737193,1378867284.59073,1339604895.18494,18654901.2951094,18123714.5616175
74.0990091182885,406955388.313429,416325042.327816,985882991.203213,937057208.039179,1392838379.51664,1353382250.367,18796990.6278738,18264512.1254136
74.2835405710329,410437189.618331,419708466.385583,996478100.661245,947557512.449336,1406915290.27958,1367265978.83492,18939798.5000248,18406042.1520295
74.4680720237773,413945409.731661,423118074.9163,1007153143.32927,958138543.609965,1421098553.06094,1381256618.52626,19083326.783202,18548306.4219645
74.6526034765216,417480181.960644,426554003.490128,1017908520.03722,968800705.031552,1435388701.99786,1395354708.52168,19227577.2793469,18691306.7162263
74.837134929266,421041639.840246,430016388.243287,1028744630.79579,979544402.012199,1449786270.63603,1409560790.25549,19372551.7702351,18835044.8168687
75.0216663820104,424629916.926496,433505365.391106,1039661875.68376,990370040.098529,1464291792.61025,1423875405.48964,19518252.0377039,18979522.5060777
75.2061978347548,428245147.305655,437021071.534282,1050660656.49699,1001278025.99971,1478905803.80264,1438299097.53399,19664679.865189,19124741.5661722
75.3907292874992,431887465.621298,440563643.787018,1061741376.83614,1012268767.97402,1493628842.45744,1452832411.76103,19811837.0378059,19270703.7796485
75.5752607402436,435557006.543465,444133219.324716,1072904440.38758,1023342674.45811,1508461446.93104,1467475893.78283,19959725.3407502,19417410.9289313
75.7597921929879,439253904.937626,447729935.78874,1084150251.21377,1034500155.18061,1523404156.1514,1482230090.96935,20108346.5564621,19564864.7949182
